Frame;Hour;Day;Neighbourhood;Total;Locals;Outsiders;dTotals;dLocals;dOutsiders;VaccLvl_0;VaccLvl_1;VaccLvl_2;dVaccLvl_0;dVaccLvl_1;dVaccLvl_2
0;0;0;Azenha;13804;13804;0;0;0;0;13804;0;0;13804;0;0
0;0;0;Bom Fim;11593;11593;0;0;0;0;11593;0;0;11593;0;0
0;0;0;Centro;39154;39154;0;0;0;0;39154;0;0;39154;0;0
0;0;0;Cidade Baixa;15379;15379;0;0;0;0;15379;0;0;15379;0;0
0;0;0;Farroupilha;961;961;0;0;0;0;961;0;0;961;0;0
0;0;0;Floresta;11596;11596;0;0;0;0;11596;0;0;11596;0;0
0;0;0;Independência;8112;8112;0;0;0;0;8112;0;0;8112;0;0
0;0;0;Menino Deus;31650;31650;0;0;0;0;31650;0;0;31650;0;0
0;0;0;Moinhos de Vento;11937;11937;0;0;0;0;11937;0;0;11937;0;0
0;0;0;Praia de Belas;2281;2281;0;0;0;0;2281;0;0;2281;0;0
0;0;0;Rio Branco;17531;17531;0;0;0;0;17531;0;0;17531;0;0
0;0;0;Santa Cecília;5768;5768;0;0;0;0;5768;0;0;5768;0;0
0;0;0;Santana;20723;20723;0;0;0;0;20723;0;0;20723;0;0
1;1;0;Azenha;13804;13804;0;0;0;0;13804;0;0;0;0;0
1;1;0;Bom Fim;11593;11593;0;0;0;0;11593;0;0;0;0;0
1;1;0;Centro;39154;39154;0;0;0;0;39154;0;0;0;0;0
1;1;0;Cidade Baixa;15379;15379;0;0;0;0;15379;0;0;0;0;0
1;1;0;Farroupilha;961;961;0;0;0;0;961;0;0;0;0;0
1;1;0;Floresta;11596;11596;0;0;0;0;11596;0;0;0;0;0
1;1;0;Independência;8112;8112;0;0;0;0;8112;0;0;0;0;0
1;1;0;Menino Deus;31650;31650;0;0;0;0;31650;0;0;0;0;0
1;1;0;Moinhos de Vento;11937;11937;0;0;0;0;11937;0;0;0;0;0
1;1;0;Praia de Belas;2281;2281;0;0;0;0;2281;0;0;0;0;0
1;1;0;Rio Branco;17531;17531;0;0;0;0;17531;0;0;0;0;0
1;1;0;Santa Cecília;5768;5768;0;0;0;0;5768;0;0;0;0;0
1;1;0;Santana;20723;20723;0;0;0;0;20723;0;0;0;0;0
2;2;0;Azenha;13804;13804;0;0;0;0;13804;0;0;0;0;0
2;2;0;Bom Fim;11593;11593;0;0;0;0;11593;0;0;0;0;0
2;2;0;Centro;39154;39154;0;0;0;0;39154;0;0;0;0;0
2;2;0;Cidade Baixa;15379;15379;0;0;0;0;15379;0;0;0;0;0
2;2;0;Farroupilha;961;961;0;0;0;0;961;0;0;0;0;0
